,id,node_name,latitude,longitude
124,383,신당역 12번 출구 뒤,37.565849,127.016403
125,384,종로학원본원,37.55978,126.968506
126,387,훈련원공원주차장 앞,37.566994,127.003464
127,389,을지로4가역 1번출구,37.56673,126.996605
128,390,충무로역 1번출구,37.56139,126.995354
129,391,정동길입구,37.565437,126.973305
130,398,을지로3가역 3번출구,37.566559,126.992439
131,399,서울역 센트럴 자이아파트,37.554108,126.965408
132,428,명보사거리,37.5644,126.991432
133,429,송도병원,37.549889,127.007347
134,430,KEB하나은행 장충동지점,37.562172,127.006264
135,431,청계천 영도교,37.5709,127.019524
136,433,을지로입구역 2번출구,37.566345,126.982292
137,434,신당 래미안 버스정류장,37.561489,127.023933
138,435,SK 남산빌딩,37.556862,126.975616
139,826,서울역 서부교차로2,37.555367,126.968643
140,441,염천교사거리,37.559891,126.97068
141,442,서울역 서부,37.553692,126.97216
142,443,호암아트홀,37.562111,126.970718
143,444,서울역3번 출구,37.557602,126.97258
144,445,대한상공회의소,37.560291,126.974548
145,466,롯데호텔,37.565842,126.979813
146,467,한국은행,37.562214,126.980866
147,468,웨스틴 조선호텔,37.564159,126.979485
148,469,회현역 1번출구,37.559231,126.980141
149,470,회현역 7번출구,37.55965,126.979889
150,471,회현사거리 남측,37.56036,126.982651
151,472,삼일교(시그니쳐 타워),37.567871,126.988983
152,473,을지로4가역 9번출구,37.566051,126.997986
153,474,동대문역사문화공원역 1번출구 뒤편,37.566299,127.008492
154,475,ddp패션몰,37.56765,127.01181
155,476,광희문,37.56443,127.009956
156,477,앰배서더 호텔 주변,37.559288,127.002686
157,479,동대입구역 3번 출구,37.559376,127.006027
158,480,약수역 6번 출구,37.554321,127.010704
159,481,신당역 10번 출구,37.567032,127.015793
160,482,예수소망교회,37.55994,127.018478
161,483,남산타운아파트 버스정류장,37.547585,127.006439
162,484,도동삼거리,37.555767,126.977188
163,485,서울역4번출구,37.557404,126.973251
164,3013,서울지방고용노동청 앞,37.56728087,126.9867634
165,4761,탐앤탐스 을지로3가점,37.56459538,126.9910535
166,4762,국제빌딩,37.56692117,126.9822535
167,4772,중앙일보,37.56248638,126.9721946
168,4774,을지로입구역 8번출구,37.56533738,126.9818401
169,4775,을지로지하쇼핑센터,37.56574228,126.9868287
170,4776,신세계면세점,37.56028197,126.9815318
171,4778,대신파이낸스센터,37.56509737,126.9874225
172,4784,중부경찰서앞 사거리,37.56469516,126.9903293
173,4785,롯데시티호텔,37.56681693,126.9877109
174,4791,명동역9번출구,37.56184107,126.9885225
175,800,목월공원 앞,37.532433,126.954742
176,802,한강진역 2번 출구 앞,37.541153,127.002213
177,803,한남초교 앞 보도육교,37.538139,127.004097
178,805,문배어린이공원 앞,37.536758,126.970001
179,806,전자랜드 본관 앞,37.533066,126.960732
180,807,서울역 12번 출구 앞,37.552277,126.972687
181,808,서빙고동 금호맨션 앞,37.520504,126.989738
182,809,한남 유수지 복개주차장,37.530167,127.007439
183,810,이태원지하보도,37.53841,126.986649
184,811,녹사평역1번출구,37.53508,126.985382
185,812,용산전쟁기념관,37.53484,126.977661
186,813,삼각지역 3번출구,37.533512,126.972275
187,815,LIG강촌아파트 103동앞,37.518509,126.978798
188,816,신용산역 6번출구 앞,37.530148,126.968483
189,817,삼각지역 4번출구 앞,37.533451,126.971733
190,818,숙명여대 입구 교차로,37.544895,126.969383
191,819,선린인터넷 고등학교,37.541653,126.970505
192,820,청파동입구 교차로,37.549026,126.971947
193,822,이촌1동 마을공원,37.522041,126.965523
194,823,효창동주민센터 앞,37.54232,126.96196
195,825,서빙고동 주민센터 앞,37.520336,126.994263
196,827,국군복지단,37.541885,126.97966
197,828,숙대입구역 8번,37.544079,126.972
198,829,베르가모앞,37.52293,126.961693
199,830,청암자이아파트앞,37.534424,126.94857
200,831,이태원관광특구입구,37.534279,126.988564
201,832,이촌1동 주민센터 뒤,37.521282,126.973465
202,834,효창공원앞역 3번출구 뒤,37.539009,126.96138
203,835,남영역 건너편,37.541981,126.971542
204,836,현대자동차서비스 앞,37.531422,126.9515
205,837,한남나들목 입구,37.52906,127.006729
